unit_id,date_sold,post_code,unit_price,property_type,bedrooms
1,2007-02-07,2607,525000,house,4
2,2007-02-27,2906,290000,house,3
3,2007-03-07,2905,328000,house,3
4,2007-03-09,2905,380000,house,4
5,2007-03-21,2906,310000,house,3
6,2007-04-04,2905,465000,house,4
7,2007-04-24,2607,399000,house,3
8,2007-04-30,2606,1530000,house,4
9,2007-05-24,2902,359000,house,3
10,2007-05-25,2906,320000,house,3
11,2007-06-26,2902,385000,house,3
12,2007-06-27,2906,305000,house,3
13,2007-06-27,2612,850000,house,4
14,2007-06-28,2904,765000,house,4
15,2007-06-30,2615,517000,house,4
16,2007-07-02,2914,800000,house,5
17,2007-07-03,2906,336000,house,3
18,2007-07-06,2615,535000,house,5
19,2007-07-07,2602,900000,house,4
20,2007-07-08,2600,327000,house,1
21,2007-07-12,2602,427500,house,3
22,2007-07-13,2602,780000,house,3
23,2007-07-18,2602,530000,house,3
24,2007-07-18,2602,590000,house,3
25,2007-07-20,2605,525000,house,3
26,2007-07-20,2904,549000,house,4
27,2007-07-21,2603,1780000,house,4
28,2007-07-30,2611,446000,house,3
29,2007-07-30,2607,558000,house,4
30,2007-07-31,2605,506000,house,3
31,2007-07-31,2903,520000,house,4
32,2007-08-03,2905,383000,house,3
33,2007-08-03,2607,520000,house,3
34,2007-08-07,2904,815000,house,5
35,2007-08-10,2602,545500,house,3
36,2007-08-10,2602,760000,house,3
37,2007-08-11,2602,520000,house,3
38,2007-08-11,2606,636000,house,3
39,2007-08-14,2617,625000,house,4
40,2007-08-16,2600,790000,house,4
41,2007-08-21,2905,320000,house,3
42,2007-08-21,2902,418000,house,5
43,2007-08-21,2905,455000,house,4
44,2007-08-23,2913,560000,house,4
45,2007-08-24,2904,585000,house,4
46,2007-08-28,2906,325000,house,2
47,2007-08-28,2902,420000,house,4
48,2007-08-29,2602,599000,house,3
49,2007-08-30,2905,315000,house,2
50,2007-08-30,2913,367000,house,3
51,2007-08-31,2902,348000,house,3
52,2007-08-31,2611,532500,house,4
53,2007-09-03,2611,465000,house,3
